,Link,Price
0,https://condos.ca/toronto/chinatown-centre-residence-222-spadina-ave-99-cameron-st/unit-611-C5378184,"$680,000"
1,https://condos.ca/toronto/dragon-condos-10-willison-square/unit-Ph10-C5378541,"$850,500"
2,https://condos.ca/toronto/dragon-condos-10-willison-square/unit-912-C5376287,"$598,000"
3,https://condos.ca/toronto/48-carr-street-toronto/c5348594,"$1,100,000"
4,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-Th15-C5399323,"$755,000"
5,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-15-C5383661,"$660,000"
6,https://condos.ca/toronto/dragon-condos-10-willison-square/unit-1011-C5362187,"$590,000"
7,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-Th10-C5329233,"$410,000"
8,https://condos.ca/toronto/115-denison-avenue-toronto/unit-Ph01-C5319533,"$920,000"
9,https://condos.ca/toronto/80-carr-street-toronto/unit-Th3-C5267780,"$815,500"
10,https://condos.ca/toronto/chinatown-centre-residence-222-spadina-ave-99-cameron-st/unit-1009-C5200015,"$720,000"
11,https://condos.ca/toronto/115-denison-avenue-toronto/unit-508-C5219665,TBD
12,https://condos.ca/toronto/80-carr-street-toronto/unit-Th32-C5222055,"$720,000"
13,https://condos.ca/toronto/80-carr-street-toronto/unit-Th28-C5218152,"$695,000"
14,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-Th12-C5189742,"$768,000"
15,https://condos.ca/toronto/115-denison-avenue-toronto/unit-307-C5130572,"$770,000"
16,https://condos.ca/toronto/dragon-condos-10-willison-square/unit-910-C5191052,"$815,888"
17,https://condos.ca/toronto/46-augusta-avenue-toronto/c5176533,"$1,400,000"
18,https://condos.ca/toronto/80-carr-street-toronto/unit-Th29-C5163171,"$711,000"
19,https://condos.ca/toronto/88-carr-street-toronto/unit-37-C5133188,"$709,999"
20,https://condos.ca/toronto/dragon-condos-10-willison-square/unit-206-C5114850,"$525,000"
21,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-11-C5115784,"$760,000"
22,https://condos.ca/toronto/chinatown-centre-residence-222-spadina-ave-99-cameron-st/unit-820-C5130031,"$919,888"
23,https://condos.ca/toronto/519-dundas-519-dundas-st-w/unit-1001-H4090158,"$550,000"
24,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-12-C5002604,"$765,000"
25,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-Th19-C5058245,"$706,000"
26,https://condos.ca/toronto/the-gardens-at-queen-60-98-carr-st/unit-Th3-C4999891,"$721,000"
27,https://condos.ca/toronto/88-carr-street-toronto/unit-Th12-C4953592,"$727,000"
28,https://condos.ca/toronto/st-george-mews-284-bloor-st-w/unit-407-C5411137,"$757,500"
29,https://condos.ca/toronto/48-robert-street-toronto/c5418703,"$2,300,000"
30,https://condos.ca/toronto/932-manning-avenue-toronto/c5412439,"$1,328,000"
31,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-227-C5386916,"$810,000"
32,https://condos.ca/toronto/2-borden-street-toronto/c5401429,"$1,750,000"
33,https://condos.ca/toronto/139-borden-street-toronto/c5399729,"$1,435,000"
34,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-1-C5392087,"$975,000"
35,https://condos.ca/toronto/powell-house-212-st-george-st/unit-202-C5382069,"$600,000"
36,https://condos.ca/toronto/31-walmer-road-townhouses-31-walmer-rd/unit-1-C5376574,"$1,446,000"
37,https://condos.ca/toronto/eleven-christie-11-christie-st/unit-105-C5396272,"$840,000"
38,https://condos.ca/toronto/55-prince-arthur-55-prince-arthur-ave/unit-Th57-C5378108,"$3,500,000"
39,https://condos.ca/toronto/sloane-square-217-st-george-st/unit-4-C5319760,"$750,000"
40,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1403-C5384711,"$334,000"
41,https://condos.ca/toronto/720-spadina-avenue-toronto/unit-1203-C5383795,"$315,000"
42,https://condos.ca/toronto/26-olive-avenue-toronto/unit-Lph03-C5380862,"$728,000"
43,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-704-C5372624,"$760,000"
44,https://condos.ca/toronto/5-shady-lane-toronto/unit-1112-C5365932,"$660,000"
