area-name,url
alexandra-park,https://api.locallogic.co/v2/demographics?lat=43.650794618&lng=-79.398090849&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
annex-uoft,https://api.locallogic.co/v2/demographics?lat=43.6669900489&lng=-79.4168802617&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
bay-st-corridor,https://api.locallogic.co/v2/demographics?lat=43.6593725879&lng=-79.3825438609&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
cabbagetown,https://api.locallogic.co/v2/demographics?lat=43.6593725879&lng=-79.3825438609&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
chinatown,https://api.locallogic.co/v2/demographics?lat=43.6550811921&lng=-79.3972066054&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
church-st-corridor,https://api.locallogic.co/v2/demographics?lat=43.660520824&lng=-79.378542071&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
cityplace,https://api.locallogic.co/v2/demographics?lat=43.6428501713&lng=-79.3917462016&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
corktown,https://api.locallogic.co/v2/demographics?lat=43.655305025&lng=-79.353750238&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
distillery-district,https://api.locallogic.co/v2/demographics?lat=43.650352065&lng=-79.360992787&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
fort-york,https://api.locallogic.co/v2/demographics?lat=43.6397318881&lng=-79.4097691343&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
grange-park,https://api.locallogic.co/v2/demographics?lat=43.65335839&lng=-79.390086979&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
kensington-market,https://api.locallogic.co/v2/demographics?lat=43.6548625211&lng=-79.4032957765&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
king-west,https://api.locallogic.co/v2/demographics?lat=43.6409944463&lng=-79.4162622962&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
moss-park,https://api.locallogic.co/v2/demographics?lat=43.6569437538&lng=-79.3741107877&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
queen-west,https://api.locallogic.co/v2/demographics?lat=43.648960427&lng=-79.392575954&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
regent-park,https://api.locallogic.co/v2/demographics?lat=43.659403641&lng=-79.361178472&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
st-james-town,https://api.locallogic.co/v2/demographics?lat=43.6679848249&lng=-79.3755762159&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
st-lawrence,https://api.locallogic.co/v2/demographics?lat=43.6533142339&lng=-79.3683903656&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
the-core,https://api.locallogic.co/v2/demographics?lat=43.6500550152&lng=-79.3749504523&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
the-waterfront,https://api.locallogic.co/v2/demographics?lat=43.6428616952&lng=-79.3769141499&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
yonge-and-bloor,https://api.locallogic.co/v2/demographics?lat=43.669422583&lng=-79.383772858&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
yorkville,https://api.locallogic.co/v2/demographics?lat=43.674903027&lng=-79.394880378&key=tGhik0j0LL42La3As5KYU1nTT0LbDbSy7ZASf22T
