address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst,size_range_level,include_party_room,include_meeting_room,include_rooftop_deck,include_visitor_parking,include_security_system,include_security_guard,include_pet_restriction,include_guest_suites,include_concierge,include_gym,include_rec_room,include_media_room,include_public_transit,include_bbq_permitted,include_indoor_pool,num_amenities
611 - 99 Cameron St,680000,2,2,1,2536,NA,W,753.09,30,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,MTCC-952,93-111 sqm,"['Concierge', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Rec Room']",6,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,6
PH10 - 10 Willison Sq,850500,3,2,1,4014,927,SE,601.67,4,Terrace,None,Forced Air,Owned,Condo Apt,alexandrapark,Yes,TSCC-2582,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",5,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,13
912 - 10 Willison Sq,598000,1+1,1,0,2309,586,E,361.19,4,None,Owned,Forced Air,NA,Condo Apt,alexandrapark,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,12
TH15 - 68 Carr St,755000,2,1,1,2847,NA,SE,660.27,15,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security Guard', 'Security System', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck']",5,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,10
15 - 60 Carr St,660000,2,1,0,2597,1125,W,519.4,15,Terrace,Owned,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,65-74 sqm,"['Rooftop Deck', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'FibreStream Internet']",3,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
1011 - 10 Willison Sq,590000,1+1,1,0,2327,600,E,361.19,4,None,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,11
TH 10 - 68 Carr St,410000,Studio,1,0,1787,NA,W,213,15,Terrace,None,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,TSCC-1794,0-46 sqm,"['BBQ Permitted', 'Security Guard', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System', 'Visitor Parking']",0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,9
PH01 - 115 Denison Ave,920000,2,2,0,NA,NA,E,655,0,Open Balcony,None,Forced Air,NA,Condo Apt,alexandrapark,Yes,NA,65-74 sqm,"['Gym', 'Concierge', 'Party Room', 'Guest Suites', 'Outdoor Pool']",3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5
TH3 - 80 Carr St E,815500,2,1,1,2902,NA,SE,632.94,11-15,Terrace,NA,Forced Air,Underground,Condo Townhouse,alexandrapark,Yes,MTCC-179,84-93 sqm,"['BBQ Permitted', 'Rooftop Deck', 'Security Guard', 'Visitor Parking']",5,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,4
1009 - 99 Cameron St,720000,3+1,2,1,2471,NA,W,659.45,30,Open Balcony,None,Forced Air,Underground,Condo Apt,alexandrapark,Yes,MTCC-952,93-111 sqm,"['Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System']",6,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5
