address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
611 - 99 Cameron St,"$680,000",2,2,1,"2,536",null,W,$753.09,Immediately,30 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,MTCC-952,93-111 sqm,"['Concierge', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Rec Room']"
PH10 - 10 Willison Sq,"$850,500",3,2,1,"4,014",927,SE,$601.67,Tbd,4 years old,Terrace,None,Forced Air,Owned,Condo Apt,Alexandra Park,Yes,TSCC-2582,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']"
912 - 10 Willison Sq,"$598,000",1+1,1,0,"2,309",586,E,$361.19,60/90/Tba,4 years old,None,Owned,Forced Air,NA,Condo Apt,Alexandra Park,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']"
TH15 - 68 Carr St,"$755,000",2,1,1,"2,847",null,SE,$660.27,Immediate,15 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security Guard', 'Security System', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck']"
15 - 60 Carr St,"$660,000",2,1,0,"2,597",1125,W,$519.40,Week Of Nov 24,15 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,65-74 sqm,"['Rooftop Deck', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'FibreStream Internet']"
1011 - 10 Willison Sq,"$590,000",1+1,1,0,"2,327",600,E,$361.19,Tba,4 years old,None,None,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,TSCC-2582,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']"
TH 10 - 68 Carr St,"$410,000",Studio,1,0,"1,787",null,W,$213.00,Immediate,15 years old,Terrace,None,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,0-46 sqm,"['BBQ Permitted', 'Security Guard', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System', 'Visitor Parking']"
PH01 - 115 Denison Ave,"$920,000",2,2,0,NA,null,E,$655.00,2024,New,Open Balcony,None,Forced Air,NA,Condo Apt,Alexandra Park,Yes,NA,65-74 sqm,"['Gym', 'Concierge', 'Party Room', 'Guest Suites', 'Outdoor Pool']"
TH3 - 80 Carr St E,"$815,500",2,1,1,"2,902",null,SE,$632.94,Flexible,11-15 years old,Terrace,NA,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,MTCC-179,84-93 sqm,"['BBQ Permitted', 'Rooftop Deck', 'Security Guard', 'Visitor Parking']"
1009 - 99 Cameron St,"$720,000",3+1,2,1,"2,471",null,W,$659.45,Tba,30 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,MTCC-952,93-111 sqm,"['Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System']"
508 - 115 Denison Ave,TBD,1+1,1,0,NA,null,W,$579.00,2024,New,Open Balcony,None,Forced Air,NA,Condo Apt,Alexandra Park,Yes,NA,56-65 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room']"
TH32 - 80 Carr St,"$720,000",2,1,1,"2,501",null,SW,$500.55,Flexible,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,65-74 sqm,"['Visitor Parking', 'BBQ Permitted', 'Security Guard']"
TH 28 - 80 Carr St,"$695,000",1,1,1,"2,321",null,SW,$432.42,Immediate/Tba,-,Open Balcony,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,56-65 sqm,"['Security System', 'Visitor Parking']"
TH12 - 68 Carr St,"$768,000",2,2,1,"2,789",null,E,$598.12,30-45 Days,14 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Security Guard', 'Security System', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck']"
307 - 115 Denison Ave,"$770,000",1+1,1,0,NA,null,W,$579.00,2024,New,Open Balcony,None,Forced Air,NA,Condo Apt,Alexandra Park,Yes,NA,56-65 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Outdoor Pool', 'Party Room']"
910 - 10 Willison Sq,"$815,888",3,2,1,"3,502",0,SE,$573.04,Immediately,4 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,TSCC-2582,74-84 sqm,"['Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System', 'BBQ Permitted', 'Gym', 'Visitor Parking']"
TH29 - 80 Carr St,"$711,000",2,2,0,"2,480",null,NS,$446.00,2021-05-04 00:,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,65-74 sqm,"['BBQ Permitted', 'Security Guard']"
37 - 88 Carr St,"$709,999",2,2,1,"2,549",null,E,$530.06,2021-05-17 00:,11-15 years old,Terrace,NA,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,74-84 sqm,"['BBQ Permitted', 'Security System']"
206 - 10 Willison Sq,"$525,000",1+1,1,0,"2,352",0,S,$382.17,Vacant,3 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,TSCC-2582,56-65 sqm,"['Bike Storage', 'Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System']"
11 - 98 Carr St,"$760,000",2,2,1,"2,885",null,N,$634.39,Immed,14 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security Guard', 'Security System', 'Visitor Parking']"
820 - 99 Cameron St,"$919,888",2+1,2,1,"3,082",null,E,$902.42,Immed/Tbd,30 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Alexandra Park,Yes,MTCC-952,111-130 sqm,"['Concierge', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System']"
1001 - 519 Dundas Street W,"$550,000",2,0,1,NA,790,NA,NA,NA,32 years old,NA,NA,NA,Underground,Condo Apt,NA,NA,NA,73 sqm,"['Public Transit', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System']"
12 - 98 Carr St,"$765,000",2,2,1,"2,927",null,NW,$635.65,Tba,14 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,84-93 sqm,"['Rooftop Deck', 'Public Transit', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'FibreStream Internet']"
TH19 - 68 Carr St,"$706,000",2,2,1,"2,501",null,W,$506.13,Flexible,14 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,65-74 sqm,"['BBQ Permitted', 'Security Guard', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System']"
TH3 - 68 Carr St,"$721,000",2,2,1,"2,871",null,SW,$598.81,30/60 Days,14 years old,Terrace,None,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1794,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security Guard', 'Visitor Parking', 'FibreStream Internet', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Security System']"
TH12 - 88 Carr St,"$727,000",2,2,1,"2,748",null,W,$598.12,Tbd,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Alexandra Park,Yes,TSCC-1974,84-93 sqm,[]
407 - 284 Bloor St W,"$757,500",2,1,0,"2,841",871,N,$882.54,Any Time,30 years old,Open Balcony,Exclusive,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,MTCC-946,74-84 sqm,"['Gym', 'Party Room', 'Rec Room', 'Security Guard', 'Security System', 'Rooftop Deck', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Bike Storage', 'BBQ Permitted']"
227 - 783 Bathurst St,"$810,000",2,2,1,"3,178",805,W,$704.95,30-60 Days,7 years old,Terrace,None,Fan Coil,Underground,Condo Apt,Annex - U of T,Yes,TSCC-2405,74-84 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'FibreStream Internet']"
1 - 157 Madison Ave,"$975,000",1+1,1,1,"3,452",0,W,$700.00,2021-11-25 00:,37 years old,None,NA,Forced Air,Owned,Condo Apt,Annex - U of T,Yes,MTCC-632,84-93 sqm,"['BBQ Permitted', 'Bike Storage', 'Security System']"
202 - 212 St George St,"$600,000",1,1,1,"2,249",null,S,"$1,075.41",Flex Closing,41 years old,Open Balcony,None,Heat Pump,Underground,Condo Apt,Annex - U of T,No,YCP-529,65-74 sqm,"['Gym', 'Rooftop Deck', 'Visitor Parking', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System']"
1 - 31 Walmer Rd,"$1,446,000",3,3,1,"3,976",0,SW,$850.00,30Days/Tba,42 years old,Open Balcony,None,Forced Air,Underground,Condo Townhouse,Annex - U of T,Yes,YCC-434,232-255 sqm,"['Visitor Parking', 'BBQ Permitted', 'Bike Storage']"
105 - 11 Christie St,"$840,000",2,2,1,"2,459",950,W,$813.55,Flexible,10 years old,Terrace,None,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,TSCC-2116,84-93 sqm,"['Rooftop Deck', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Parking Garage', 'Pet Restriction']"
TH 57 - 55 Prince Arthur Ave,"$3,500,000",2+1,3,2,"8,736",2748,N,"$3,122.09",Tbd,35 years old,Terrace,NA,Heat Pump,Underground,Condo Townhouse,Annex - U of T,Yes,MTCC-717,279-302 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Public Transit', 'Parking Garage', 'Sauna', 'Security Guard', 'Security System', 'Meeting Room', 'Party Room', 'BBQ Permitted']"
4 - 217 St. George St,"$750,000",1+1,1,1,"2,866",null,W,$637.57,Negotiable,26 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Annex - U of T,Yes,MTCC-1095,74-84 sqm,"['Pets', 'Visitor Parking', 'BBQ Permitted', 'Parking Garage', 'Security System']"
1403 - 720 Spadina Ave,"$334,000",Studio,1,0,NA,null,S,$570.30,Tba,-,Terrace,None,Forced Air,Underground,Co-Ownership Apt,Annex - U of T,No,NR,0-46 sqm,"['Gym', 'Rooftop Deck', 'Sauna', 'Security System', 'Outdoor Pool']"
1203 - 720 Spadina Ave,"$315,000",Studio,1,0,NA,null,S,$570.30,Immed/30-60Day,-,Open Balcony,None,Forced Air,Underground,Co-Ownership Apt,Annex - U of T,No,NA,0-46 sqm,"['Gym', 'Rooftop Deck', 'Sauna', 'Outdoor Pool']"
LPH03 - 26 Olive Ave,"$728,000",2,2,1,"2,291",862,SW,$672.22,30/60,-,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,TSCC-1506,74-84 sqm,"['Concierge', 'Gym', 'Party Room', 'Security Guard', 'Visitor Parking']"
704 - 736 Spadina Ave,"$760,000",1+1,1,1,"3,354",771,SW,$638.21,90/Tba,13 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,TSCC-1950,65-74 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Rooftop Deck', 'Visitor Parking', 'Party Room', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Bike Storage', 'Games Room', 'BBQ Permitted', 'Yoga Studio']"
1112 - 5 Shady Gfwy,"$660,000",3,2,1,"1,421",1100,SE,$740.99,Flexible,-,Open Balcony,NA,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,YCC-190,93-111 sqm,"['Bike Storage', 'Gym', 'Indoor Pool', 'Security System', 'Visitor Parking']"
103 - 21 Olive Ave,"$513,000",1,1,1,"2,102",440,S,$373.32,Tba,-,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Annex - U of T,Yes,TSCC-2107,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Indoor Pool']"
203 - 391 Brunswick Ave,"$930,000",1+1,2,0,"4,326",1032,E,"$1,155.91",Flexible,11 years old,None,Owned,Heat Pump,Underground,Condo Apt,Annex - U of T,Yes,TSCC-2086,93-111 sqm,"['BBQ Permitted', 'Bike Storage', 'Parking Garage', 'Pet Restriction', 'Security System']"
604 - 55 Prince Arthur Ave,"$3,430,000",3,4,2,"8,390",2327,SE,"$3,279.06",T.B.D,35 years old,Open Balcony,NA,Heat Pump,Underground,Condo Apt,Annex - U of T,Yes,MTCC-717,255-279 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Public Transit', 'Parking Garage', 'Sauna', 'Security Guard', 'Security System', 'Guest Suites', 'Meeting Room']"
1109 - 736 Spadina Ave,"$1,288,000",2+1,2,1,"5,035",1230,NE,$968.42,60 Days,13 years old,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,Annex - U of T,Yes,TSCC-1950,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room']"
1411 - 736 Spadina Ave,"$850,000",2,2,1,"3,263",772,S,$629.63,Flexible,13 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Annex - U of T,Yes,TSCC-1950,65-74 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Rooftop Deck', 'Security Guard', 'Visitor Parking', 'Party Room', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Bike Storage', 'Games Room']"
TH105 - 18 Loretto Lane,"$1,030,000",3,2,1,"4,871",null,E,"$1,050.92",Immediate,7 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,Annex - U of T,Yes,TSCC-2045,111-130 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Visitor Lounge', 'FibreStream Internet']"
