"","area","avg_household_income","avg_individual_income","transit","foot","bicycle","drive","other","single_family","multi_family","single_person","multi_person","total_individuals","0_to_4","5_to_9","10_to_14","15_to_19","20_to_34","35_to_49","50_to_64","65_to_79","80_plus","owners","renters","en_only","fr_only","en_and_fr","other","no_high_school","high_school","trade_certificate","college_certificate","university_certificate","bachelor_degree","post_graduate_degree","avg_children_per_household","single_detached","semi_detached","duplex","row_houses","apartment_1_to_4_floors","apartment_5_plus_floors","children_0","children_1","children_2","children_3_plus","mandarin","cantonese","english","vietnamese","min_nan_chaochow_teochow_fukien_taiwanese","french","latvian","russian","spanish","other"
"1","alexandra-park","81829.3935","38093.3087","0.3088","0.4155","0.0325","0.1876","0.0556000000000001","0.3553","0.0188","0.5184","0.1075","7781","0.0309","0.0245","0.022","0.0364","0.4271","0.205","0.1397","0.0781","0.0364","0.3764","0.6136","0.7534","0","0.1173","0.1293","0.2363","0.2368","0.0284","0.1112","0.0375","0.2178","0.1102","1.1329","0.0033","0.0064","0.0071","0.0738","0.1862","0.7162","0.679","0.1560702","0.1085301","0.0563997","0.4552","0.2239","0.209","0.0224","0.0224","0.0149","0.0075","0.0075","0.0075","0.0297"
"2","annex-uoft","125531.6457","50944.5009","0.4019","0.1377","0.1847","0.2296","0.0461000000000001","0.5411","0.0116","0.3073","0.14","6126","0.0422","0.0456","0.0421","0.0366","0.302","0.2101","0.1546","0.1011","0.0657","0.5345","0.4655","0.7472","0","0.2141","0.0387","0.1647","0.1572","0.0151","0.1085","0.0296","0.2618","0.242","0.9864","0.1007","0.2146","0.0522","0.0607","0.5325","0.0292","0.4899","0.21791472","0.22765763","0.06452765","0.7034","0.0593","0.0508","0.0339","0.0339","0.0254","0.0169","0.0169","0.0169","0.0426"
"3","bay-st-corridor","82646.2241","39769.1033","0.3217","0.461","0.0168","0.1697","0.0308","0.3006","0.0032","0.5288","0.1675","17953","0.0344","0.0166","0.0086","0.0445","0.5126","0.1704","0.1348","0.0613","0.0169","0.2938","0.7062","0.8536","0.001","0.1187","0.0267","0.0492","0.2088","0.0245","0.0958","0.0351","0.3047","0.2683","0.5819","2e-04","6e-04","0.0022","0.0064","0.0213","0.9681","0.6864","0.18703104","0.09793728","0.02863168","0.4618","0.1421","0.0693","0.0284","0.0284","0.0249","0.0231","0.0213","0.0195","0.1812"
"4","cabbagetown","82646.2241","39769.1033","0.3217","0.461","0.0168","0.1697","0.0308","0.3006","0.0032","0.5288","0.1675","17953","0.0344","0.0166","0.0086","0.0445","0.5126","0.1704","0.1348","0.0613","0.0169","0.2938","0.7062","0.8536","0.001","0.1187","0.0267","0.0492","0.2088","0.0245","0.0958","0.0351","0.3047","0.2683","0.5819","2e-04","6e-04","0.0022","0.0064","0.0213","0.9681","0.6864","0.18703104","0.09793728","0.02863168","0.4618","0.1421","0.0693","0.0284","0.0284","0.0249","0.0231","0.0213","0.0195","0.1812"
"5","chinatown","72572.476","27513.8863","0.3257","0.3318","0.0777","0.1806","0.0842000000000001","0.3317","0.0287","0.4283","0.2112","6554","0.0236","0.0258","0.0187","0.0434","0.4215","0.1615","0.161","0.0855","0.0589","0.2764","0.7172","0.7435","2e-04","0.113","0.1434","0.2233","0.2811","0.021","0.098","0.0139","0.2344","0.0888","0.9963","0.0131","0.0376","0.0472","0.082","0.6099","0.195","0.565","0.241077","0.131805","0.062118","0.5865","0.1538","0.0962","0.0288","0.0192","0.0192","0.0096","0.0096","0.0096","0.0675"
"6","church-st-corridor","92065.8823","42672.0375","0.3511","0.4056","0.0276","0.1799","0.0358000000000001","0.3056","0.0019","0.5604","0.1321","13181","0.0255","0.0126","0.0094","0.0344","0.4071","0.2094","0.1942","0.0802","0.0272","0.3258","0.6731","0.8423","0.0013","0.1365","0.0198","0.0645","0.194","0.0368","0.1324","0.0351","0.3219","0.1982","0.5039","0.001","0.003","0.0054","0.0207","0.0634","0.9028","0.7446","0.15901204","0.06862598","0.02776198","0.6989","0.0645","0.0215","0.0215","0.0215","0.0215","0.0108","0.0108","0.0108","0.1182"
"7","cityplace","109722.8812","59664.8858","0.2648","0.4321","0.0219","0.257","0.0242","0.3188","0.0029","0.5498","0.1286","13805","0.0301","0.0086","0.0053","0.0146","0.6289","0.2119","0.0711","0.0247","0.0049","0.5798","0.4202","0.8405","7e-04","0.1417","0.0171","0.0253","0.1171","0.0239","0.1213","0.0434","0.4475","0.2134","0.3527","0","8e-04","5e-04","0.0062","0.0061","0.9856","0.7927","0.14338941","0.05060193","0.01330866","0.6702","0.0393","0.034","0.0262","0.0236","0.0236","0.0183","0.0183","0.0183","0.1282"
"8","corktown","133455.7731","60020.8677","0.3883","0.1693","0.0642","0.3163","0.0619","0.3892","3e-04","0.547","0.0635","3053","0.0418","0.0235","0.0166","0.0147","0.377","0.2921","0.1543","0.0702","0.0098","0.5196","0.4802","0.8141","0.0014","0.1737","0.0108","0.0769","0.1472","0.0437","0.1714","0.0525","0.335","0.1626","0.614","0.0059","0.0192","0.0225","0.1166","0.1593","0.672","0.7583","0.15792678","0.06330123","0.02047199","0.6881","0.0322","0.0282","0.0221","0.0201","0.0181","0.0161","0.0141","0.0121","0.1489"
"9","distillery-district","113759.3233","60140.1575","0.3401","0.2977","0.0578","0.2786","0.0257999999999999","0.377","0.0012","0.5616","0.0601","2821","0.0369","0.0226","0.0154","0.018","0.3843","0.2766","0.1561","0.0778","0.0123","0.562","0.438","0.8169","0.0019","0.1741","0.0071","0.0524","0.1364","0.0285","0.1645","0.0542","0.3458","0.2182","0.6389","0.001","0.0052","0.0112","0.0515","0.0801","0.8476","0.7729","0.1530654","0.05289159","0.02116572","0.6881","0.0322","0.0282","0.0221","0.0201","0.0181","0.0161","0.0141","0.0121","0.1489"
"10","fort-york","113766.2566","61891.2285","0.3795","0.1591","0.0464","0.4071","0.00790000000000002","0.3487","0.0019","0.561","0.0883","7296","0.0334","0.0115","0.0068","0.0092","0.5646","0.2685","0.0767","0.0251","0.0042","0.7087","0.2913","0.8449","6e-04","0.145","0.0095","0.0316","0.1187","0.0242","0.17","0.0293","0.4136","0.1893","0.3935","7e-04","0.0014","0.0067","0.0475","0.1271","0.8151","0.8044","0.1445484","0.04672884","0.00432276","0.6267","0.0434","0.0375","0.025","0.025","0.0237","0.0211","0.0178","0.0138","0.166"
